# ============================================================================
# emulatr_env_registry.tsv -- curated EMULATR_* runtime variable registry
# ============================================================================
# Project: EmulatR -- EmulatrLaunch (SPEC-LAUNCH-001 Rev D.2)
# Spec:    Section 7.1 (V1/V2) -- the ONLY source of rows for the W6 panel.
#
# GATE G2b CLOSED 2026-08-14: generated by tools/gen_env_registry.py from the
# core tree's getenv("EMULATR_*") census.  Regeneration PRESERVES the curated
# columns of existing rows (kind/default/description/tier) and refreshes only
# the anchors; new core knobs are appended tier=dev (fail closed).  Edit
# curation HERE; edit existence in the CORE.
#
# Rows tagged [diag builds] act only in relwithdebinfo/debug binaries -- the
# diagnostic layer is compiled out of release (see the per-system Emulator
# binary selector in the Details tab).
#
# name<TAB>kind(flag|path|integer|enum)<TAB>default<TAB>description<TAB>tier(safe|dev|denied)<TAB>anchor
# ============================================================================
EMULATR_ASN_CENSUS	flag		Log the address-space-number census from the PTE layer. [diag builds]	dev	pteLib/AsnCensus.h:89
EMULATR_AST_PROBE	flag		Trace AST-delivery translation decisions in the MMU. [diag builds]	dev	mmuLib/Ev6Translator.h:465
EMULATR_AUTOSNAP	enum		on	safe	main.cpp:705
EMULATR_AUTOSNAP_KEEP	integer		How many periodic snapshots to retain before pruning the oldest.	safe	main.cpp:728
EMULATR_AUTOSNAP_PERIOD	integer		Cycles between periodic snapshot saves (default 50e9). Lower values give denser resume points; each save pauses the guest for a multi-GB write.	safe	main.cpp:723
EMULATR_BOOTTRACE	flag		Enable the pipeline boot trace.	dev	pipelineLib/PipelineDriver.h:1164
EMULATR_BREAK_ON_PA10	flag		Developer breakpoint hook on the watched PA store condition in the memory drainer. [diag builds]	dev	pipelineLib/MemDrainer.h:1599
EMULATR_CHECKPOINTS	path		Named PC checkpoints for the boot ledger: name:0xPC,name:0xPC,... logs first arrival at each PC.	dev	main.cpp:452
EMULATR_CHIPSET_DIAG_ON	flag		Explicitly enable the chipset CSR diagnostics (counterpart to EMULATR_CHIPSET_DIAG_OFF).	dev	chipsetLib/CsrDiag.cpp:50
EMULATR_CONSOLE_MIRROR	flag		Mirror the guest console stream to the host stdout.	safe	deviceLib/Tsunami/Uart16550.h:960
EMULATR_CONSOLE_PORT	integer		Console telnet port override. Prefer the launcher's Port control (writes Emulatr.ini); this overrides both.	dev	systemLib/Machine.cpp:364
EMULATR_CONSOLE_SNAPSHOT	flag		off	dev	deviceLib/Tsunami/Uart16550.h:651
EMULATR_CSERVE_AUDIT	flag		When set (=1), the CSERVE default case captures the missing contract for every func EmulatR still stubs, emitting CSERVE-CONTRACT-MISSING: func=0x.. R16/R17/R18/R0 callerPc=.. (one record per distinct func) so each unhandled func can be cross-referenced to its guest cfw_* handler. Set empty to disable.	dev	palBoxLib/grains/PalEntries.cpp:1265
EMULATR_CSERVE_ROUTE	enum		When set (=1), the CSERVE default case DIVERTs to the guest sys__cserve dispatcher (mirror-AXPBox p23 + divert, R16 intact) instead of no-op'ing. Closes 0x65 MP_WORK_REQUEST (the MP$RESTART boot post): guest cfw_mp_work_request saves R18 to CNS__WORK_REQUEST so the console proceeds past the re-init loop. Faithful for every func (unknown codes hit the guest's own hw_ret(p23) no-op). Emits CSERVE-ROUTE lines. Set empty to disable.	dev	palBoxLib/grains/PalEntries.cpp:1309
EMULATR_CSERVE_START_MODE	enum		Selects how the B+ handoff is taken at CSERVE START (0x42). Default guest (Option A) mirrors AXPBox vmspal_call_cserve exactly -- it sets p23 to the CALL_PAL return PC and diverts to the guest cfw_start/exit_console, letting the real PAL do the mode/VPTB/IPL transition. Set cpp for the old C++ B+ replica.	dev	palBoxLib/grains/PalEntries.cpp:735
EMULATR_CSERVE_START_RESTART	flag		Legacy CSERVE start fallback: with _START_MODE unset, presence selects the C++ restart path over guest. Superseded by EMULATR_CSERVE_START_MODE.	dev	palBoxLib/grains/PalEntries.cpp:741
EMULATR_DELAYWARP	flag		REMOVED 2026-08-01 (injection: wrote cpu.intReg, advanced cycleCount with no timer replay). Stripped from every child environment.	denied	quarantined (no core read)
EMULATR_DIAG_CAP	integer		Cap on retire-diagnostic output lines (default 200). [diag builds]	dev	pipelineLib/PipelineDriver.h:1082
EMULATR_DIAG_CYCHI	integer		High bound of the retire-diagnostic cycle window (value). [diag builds]	dev	pipelineLib/PipelineDriver.h:1080
EMULATR_DIAG_CYCLO	integer		Low bound of the retire-diagnostic cycle window (value). [diag builds]	dev	pipelineLib/PipelineDriver.h:1079
EMULATR_DIAG_PCHI	integer		High bound of the retire-diagnostic PC window (value = hex PC). [diag builds]	dev	pipelineLib/PipelineDriver.h:1072
EMULATR_DIAG_PCLO	integer		Low bound of the retire-diagnostic PC window (value = hex PC). [diag builds]	dev	pipelineLib/PipelineDriver.h:1071
EMULATR_DIAG_SHOWREG	flag		[diag builds]	dev	pipelineLib/PipelineDriver.h:1091
